work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,EX,FT,Engineering Manager,4500000,INR,54000,IN,50,IN,L
2024,EX,FT,Technical Lead,4000000,INR,48000,IN,50,IN,L
2024,EX,FT,Principal Engineer,5000000,INR,60000,IN,100,IN,L
2024,EX,FT,VP Engineering,7000000,INR,84000,IN,50,IN,L
2024,EX,FT,CTO,10000000,INR,120000,IN,100,IN,L
2024,EX,FT,Head of Data,5500000,INR,66000,IN,100,IN,L
2024,EX,FT,Director of Engineering,6000000,INR,72000,IN,50,IN,L
2024,EX,FT,Chief Data Officer,8000000,INR,96000,IN,100,IN,L
2023,EN,FT,Software Developer,750000,INR,9000,IN,0,IN,S
2023,EN,FT,Data Analyst,550000,INR,6600,IN,50,IN,M
2023,EN,FT,Frontend Developer,700000,INR,8400,IN,100,IN,S
2023,EN,FT,Backend Developer,800000,INR,9600,IN,50,IN,M
2023,EN,FT,QA Engineer,500000,INR,6000,IN,0,IN,S
2023,EN,FT,DevOps Engineer,850000,INR,10200,IN,100,IN,M
2023,EN,FT,Mobile Developer,650000,INR,7800,IN,50,IN,S
2023,EN,FT,UI/UX Designer,600000,INR,7200,IN,100,IN,M
2023,EN,FT,Business Analyst,550000,INR,6600,IN,0,IN,L
2023,EN,FT,Data Scientist,950000,INR,11400,IN,100,IN,M
2023,MI,FT,Software Developer,1300000,INR,15600,IN,50,IN,M
2023,MI,FT,Data Analyst,1000000,INR,12000,IN,100,IN,L
2023,MI,FT,Frontend Developer,1200000,INR,14400,IN,100,IN,M
2023,MI,FT,Backend Developer,1400000,INR,16800,IN,50,IN,L
2023,MI,FT,QA Engineer,950000,INR,11400,IN,0,IN,M
2023,MI,FT,DevOps Engineer,1500000,INR,18000,IN,100,IN,L
2023,MI,FT,Mobile Developer,1150000,INR,13800,IN,100,IN,M
2023,MI,FT,UI/UX Designer,1100000,INR,13200,IN,100,IN,L
2023,MI,FT,Business Analyst,1000000,INR,12000,IN,50,IN,L
2023,MI,FT,Data Scientist,1700000,INR,20400,IN,100,IN,L
2023,MI,FT,Product Manager,1900000,INR,22800,IN,50,IN,L
2023,SE,FT,Software Developer,2000000,INR,24000,IN,50,IN,L
2023,SE,FT,Data Analyst,1600000,INR,19200,IN,100,IN,L
2023,SE,FT,Frontend Developer,1800000,INR,21600,IN,100,IN,L
2023,SE,FT,Backend Developer,2200000,INR,26400,IN,50,IN,L
2023,SE,FT,QA Engineer,1500000,INR,18000,IN,50,IN,M
2023,SE,FT,DevOps Engineer,2400000,INR,28800,IN,100,IN,L
2023,SE,FT,Mobile Developer,1900000,INR,22800,IN,100,IN,L
2023,SE,FT,UI/UX Designer,1700000,INR,20400,IN,100,IN,L
2023,SE,FT,Business Analyst,1500000,INR,18000,IN,50,IN,L
2023,SE,FT,Data Scientist,2800000,INR,33600,IN,100,IN,L
2023,SE,FT,Product Manager,3000000,INR,36000,IN,50,IN,L
2023,SE,FT,Machine Learning Engineer,3200000,INR,38400,IN,100,IN,L
2023,EX,FT,Engineering Manager,4200000,INR,50400,IN,50,IN,L
2023,EX,FT,Technical Lead,3800000,INR,45600,IN,50,IN,L
2023,EX,FT,Principal Engineer,4600000,INR,55200,IN,100,IN,L
2023,EX,FT,VP Engineering,6500000,INR,78000,IN,50,IN,L
2023,EX,FT,CTO,9500000,INR,114000,IN,100,IN,L
2022,EN,FT,Software Developer,650000,INR,7800,IN,0,IN,S
2022,EN,FT,Data Analyst,450000,INR,5400,IN,50,IN,M
2022,EN,FT,Frontend Developer,600000,INR,7200,IN,50,IN,S
2022,EN,FT,Backend Developer,700000,INR,8400,IN,50,IN,M
2022,EN,FT,QA Engineer,400000,INR,4800,IN,0,IN,S
2022,EN,FT,DevOps Engineer,750000,INR,9000,IN,50,IN,M
2022,EN,FT,Mobile Developer,550000,INR,6600,IN,50,IN,S
2022,EN,FT,UI/UX Designer,500000,INR,6000,IN,50,IN,M
2022,EN,FT,Business Analyst,450000,INR,5400,IN,0,IN,L
2022,EN,FT,Data Scientist,800000,INR,9600,IN,50,IN,M
2022,MI,FT,Software Developer,1100000,INR,13200,IN,50,IN,M
2022,MI,FT,Data Analyst,850000,INR,10200,IN,50,IN,L
2022,MI,FT,Frontend Developer,1000000,INR,12000,IN,50,IN,M
2022,MI,FT,Backend Developer,1200000,INR,14400,IN,50,IN,L
2022,MI,FT,QA Engineer,800000,INR,9600,IN,0,IN,M
2022,MI,FT,DevOps Engineer,1300000,INR,15600,IN,50,IN,L
2022,MI,FT,Mobile Developer,950000,INR,11400,IN,50,IN,M
2022,MI,FT,UI/UX Designer,900000,INR,10800,IN,50,IN,L
2022,MI,FT,Business Analyst,850000,INR,10200,IN,50,IN,L
2022,MI,FT,Data Scientist,1500000,INR,18000,IN,50,IN,L
2022,MI,FT,Product Manager,1600000,INR,19200,IN,50,IN,L
2022,SE,FT,Software Developer,1800000,INR,21600,IN,50,IN,L
2022,SE,FT,Data Analyst,1400000,INR,16800,IN,50,IN,L
2022,SE,FT,Frontend Developer,1600000,INR,19200,IN,50,IN,L
2022,SE,FT,Backend Developer,2000000,INR,24000,IN,50,IN,L
2022,SE,FT,QA Engineer,1300000,INR,15600,IN,50,IN,M
2022,SE,FT,DevOps Engineer,2200000,INR,26400,IN,50,IN,L
2022,SE,FT,Mobile Developer,1700000,INR,20400,IN,50,IN,L
2022,SE,FT,UI/UX Designer,1500000,INR,18000,IN,50,IN,L
2022,SE,FT,Business Analyst,1300000,INR,15600,IN,50,IN,L
2022,SE,FT,Data Scientist,2500000,INR,30000,IN,50,IN,L
2022,SE,FT,Product Manager,2700000,INR,32400,IN,50,IN,L
2022,SE,FT,Machine Learning Engineer,2800000,INR,33600,IN,50,IN,L
2022,EX,FT,Engineering Manager,3800000,INR,45600,IN,50,IN,L
2022,EX,FT,Technical Lead,3400000,INR,40800,IN,50,IN,L
2022,EX,FT,Principal Engineer,4000000,INR,48000,IN,50,IN,L
2022,EX,FT,VP Engineering,5800000,INR,69600,IN,50,IN,L
2022,EX,FT,CTO,8500000,INR,102000,IN,50,IN,L
2021,EN,FT,Software Developer,550000,INR,6600,IN,0,IN,S
2021,EN,FT,Data Analyst,350000,INR,4200,IN,0,IN,M
2021,EN,FT,Frontend Developer,500000,INR,6000,IN,0,IN,S
2021,EN,FT,Backend Developer,600000,INR,7200,IN,0,IN,M
2021,EN,FT,QA Engineer,300000,INR,3600,IN,0,IN,S
2021,EN,FT,DevOps Engineer,650000,INR,7800,IN,0,IN,M
2021,EN,FT,Mobile Developer,450000,INR,5400,IN,0,IN,S
2021,EN,FT,UI/UX Designer,400000,INR,4800,IN,0,IN,M
2021,EN,FT,Business Analyst,350000,INR,4200,IN,0,IN,L
2021,EN,FT,Data Scientist,700000,INR,8400,IN,0,IN,M
2021,MI,FT,Software Developer,950000,INR,11400,IN,0,IN,M
2021,MI,FT,Data Analyst,700000,INR,8400,IN,0,IN,L
2021,MI,FT,Frontend Developer,850000,INR,10200,IN,0,IN,M
2021,MI,FT,Backend Developer,1000000,INR,12000,IN,0,IN,L
2021,MI,FT,QA Engineer,650000,INR,7800,IN,0,IN,M
2021,MI,FT,DevOps Engineer,1100000,INR,13200,IN,0,IN,L
2021,MI,FT,Mobile Developer,800000,INR,9600,IN,0,IN,M
2021,MI,FT,UI/UX Designer,750000,INR,9000,IN,0,IN,L
2021,MI,FT,Business Analyst,700000,INR,8400,IN,0,IN,L
2021,MI,FT,Data Scientist,1300000,INR,15600,IN,0,IN,L
2021,MI,FT,Product Manager,1400000,INR,16800,IN,0,IN,L
2021,SE,FT,Software Developer,1600000,INR,19200,IN,0,IN,L
2021,SE,FT,Data Analyst,1200000,INR,14400,IN,0,IN,L
2021,SE,FT,Frontend Developer,1400000,INR,16800,IN,0,IN,L
2021,SE,FT,Backend Developer,1800000,INR,21600,IN,0,IN,L
2021,SE,FT,QA Engineer,1100000,INR,13200,IN,0,IN,M
2021,SE,FT,DevOps Engineer,2000000,INR,24000,IN,0,IN,L
2021,SE,FT,Mobile Developer,1500000,INR,18000,IN,0,IN,L
2021,SE,FT,UI/UX Designer,1300000,INR,15600,IN,0,IN,L
2021,SE,FT,Business Analyst,1100000,INR,13200,IN,0,IN,L
2021,SE,FT,Data Scientist,2200000,INR,26400,IN,0,IN,L
2021,SE,FT,Product Manager,2400000,INR,28800,IN,0,IN,L
2021,SE,FT,Machine Learning Engineer,2500000,INR,30000,IN,0,IN,L
2021,EX,FT,Engineering Manager,3200000,INR,38400,IN,0,IN,L
2021,EX,FT,Technical Lead,2800000,INR,33600,IN,0,IN,L
2021,EX,FT,Principal Engineer,3500000,INR,42000,IN,0,IN,L
2021,EX,FT,VP Engineering,5000000,INR,60000,IN,0,IN,L
2021,EX,FT,CTO,7500000,INR,90000,IN,0,IN,L
2020,EN,FT,Software Developer,450000,INR,5400,IN,0,IN,S
2020,EN,FT,Data Analyst,280000,INR,3360,IN,0,IN,M
2020,EN,FT,Frontend Developer,400000,INR,4800,IN,0,IN,S
2020,EN,FT,Backend Developer,500000,INR,6000,IN,0,IN,M
2020,EN,FT,QA Engineer,250000,INR,3000,IN,0,IN,S
2020,EN,FT,DevOps Engineer,550000,INR,6600,IN,0,IN,M
2020,EN,FT,Mobile Developer,350000,INR,4200,IN,0,IN,S
2020,EN,FT,UI/UX Designer,320000,INR,3840,IN,0,IN,M
2020,EN,FT,Business Analyst,280000,INR,3360,IN,0,IN,L
2020,EN,FT,Data Scientist,600000,INR,7200,IN,0,IN,M
2020,MI,FT,Software Developer,800000,INR,9600,IN,0,IN,M
2020,MI,FT,Data Analyst,600000,INR,7200,IN,0,IN,L
2020,MI,FT,Frontend Developer,750000,INR,9000,IN,0,IN,M
2020,MI,FT,Backend Developer,900000,INR,10800,IN,0,IN,L
2020,MI,FT,QA Engineer,550000,INR,6600,IN,0,IN,M
2020,MI,FT,DevOps Engineer,950000,INR,11400,IN,0,IN,L
2020,MI,FT,Mobile Developer,700000,INR,8400,IN,0,IN,M
2020,MI,FT,UI/UX Designer,650000,INR,7800,IN,0,IN,L
2020,MI,FT,Business Analyst,600000,INR,7200,IN,0,IN,L
2020,MI,FT,Data Scientist,1100000,INR,13200,IN,0,IN,L
2020,MI,FT,Product Manager,1200000,INR,14400,IN,0,IN,L
2020,SE,FT,Software Developer,1400000,INR,16800,IN,0,IN,L
2020,SE,FT,Data Analyst,1000000,INR,12000,IN,0,IN,L
2020,SE,FT,Frontend Developer,1200000,INR,14400,IN,0,IN,L
2020,SE,FT,Backend Developer,1600000,INR,19200,IN,0,IN,L
2020,SE,FT,QA Engineer,950000,INR,11400,IN,0,IN,M
2020,SE,FT,DevOps Engineer,1800000,INR,21600,IN,0,IN,L
2020,SE,FT,Mobile Developer,1300000,INR,15600,IN,0,IN,L
2020,SE,FT,UI/UX Designer,1100000,INR,13200,IN,0,IN,L
2020,SE,FT,Business Analyst,950000,INR,11400,IN,0,IN,L
2020,SE,FT,Data Scientist,2000000,INR,24000,IN,0,IN,L
2020,SE,FT,Product Manager,2200000,INR,26400,IN,0,IN,L
2020,SE,FT,Machine Learning Engineer,2300000,INR,27600,IN,0,IN,L
2020,EX,FT,Engineering Manager,2800000,INR,33600,IN,0,IN,L
2020,EX,FT,Technical Lead,2400000,INR,28800,IN,0,IN,L
2020,EX,FT,Principal Engineer,3000000,INR,36000,IN,0,IN,L
2020,EX,FT,VP Engineering,4200000,INR,50400,IN,0,IN,L
2020,EX,FT,CTO,6500000,INR,78000,IN,0,IN,L
